AccessID,UserID,UserRole,Department,Timestamp,DayOfWeek,HourOfDay,PatientID,ActionType,DataSensitivity,AccessLocation,AccessCountPerDay,IsOffHours,IsWeekend,RoleRiskWeight,AccessRiskScore
A00510,U248,Nurse,Clinical,23/06/2025 21:00,Monday,21,P809,View,Normal,Onsite,27,1,0,3,50
A00511,U169,Nurse,Clinical,20/06/2025 06:44,Friday,6,P611,Export,Normal,Remote,4,1,0,3,70
A00512,U108,Nurse,Clinical,10/06/2025 20:18,Tuesday,20,P895,View,Normal,Remote,39,1,0,3,50
A00513,U250,Nurse,Clinical,05/06/2025 12:39,Thursday,12,P541,View,High,Onsite,56,0,0,3,60
A00514,U069,Doctor,Clinical,04/06/2025 06:01,Wednesday,6,P976,View,Normal,Onsite,63,1,0,2,40
A00515,U001,Doctor,Clinical,20/06/2025 04:32,Friday,4,P356,Edit,Normal,Onsite,44,1,0,2,40
A00516,U039,Doctor,Clinical,29/06/2025 09:41,Sunday,9,P186,View,High,Onsite,12,0,1,2,50
A00517,U079,Doctor,Clinical,12/06/2025 12:24,Thursday,12,P213,View,High,Onsite,58,0,0,2,50
A00518,U251,Nurse,Clinical,15/06/2025 08:26,Sunday,8,P528,View,Normal,Remote,31,0,1,3,30
A00519,U048,Doctor,Clinical,10/06/2025 00:10,Tuesday,0,P471,Edit,Normal,Onsite,16,1,0,2,40
A00520,U209,Nurse,Clinical,29/06/2025 12:00,Sunday,12,P856,Edit,Normal,Onsite,17,0,1,3,30
A00521,U035,Doctor,Clinical,06/06/2025 17:46,Friday,17,P533,View,Normal,Remote,42,0,0,2,20
A00522,U207,Nurse,Clinical,01/06/2025 21:34,Sunday,21,P696,View,Normal,Remote,61,1,1,3,50
A00523,U017,Doctor,Clinical,11/06/2025 18:18,Wednesday,18,P785,Edit,High,Remote,53,0,0,2,50
A00524,U121,Nurse,Clinical,26/06/2025 12:12,Thursday,12,P300,View,High,Onsite,10,0,0,3,60
A00525,U155,Nurse,Clinical,26/06/2025 23:52,Thursday,23,P556,View,Normal,Remote,59,1,0,3,50
A00526,U187,Nurse,Clinical,02/06/2025 13:06,Monday,13,P120,View,Normal,Onsite,44,0,0,3,30
A00527,U211,Nurse,Clinical,29/06/2025 13:36,Sunday,13,P799,View,Normal,Onsite,50,0,1,3,30
A00528,U155,Nurse,Clinical,20/06/2025 20:41,Friday,20,P482,View,Normal,Remote,47,1,0,3,50
A00529,U266,Admin,Admin,28/06/2025 10:16,Saturday,10,P698,Export,High,Remote,33,0,1,5,100
A00530,U026,Doctor,Clinical,14/06/2025 14:01,Saturday,14,P150,Edit,Normal,Onsite,2,0,1,2,20
A00531,U166,Nurse,Clinical,12/06/2025 21:10,Thursday,21,P876,View,Normal,Onsite,47,1,0,3,50
A00532,U207,Nurse,Clinical,27/06/2025 09:23,Friday,9,P536,View,High,Remote,75,0,0,3,60
A00533,U060,Doctor,Clinical,22/06/2025 10:36,Sunday,10,P673,View,Normal,Remote,44,0,1,2,20
A00534,U050,Doctor,Clinical,27/06/2025 03:49,Friday,3,P530,Edit,Normal,Remote,70,1,0,2,40
A00535,U219,Nurse,Clinical,22/06/2025 13:58,Sunday,13,P482,View,Normal,Onsite,22,0,1,3,30
A00536,U132,Nurse,Clinical,30/06/2025 10:19,Monday,10,P756,Edit,Normal,Onsite,79,0,0,3,30
A00537,U113,Nurse,Clinical,07/06/2025 17:05,Saturday,17,P196,Edit,Normal,Remote,19,0,1,3,30
A00538,U022,Doctor,Clinical,04/06/2025 18:46,Wednesday,18,P517,View,Normal,Remote,28,0,0,2,20
A00539,U155,Nurse,Clinical,28/06/2025 05:18,Saturday,5,P725,View,Normal,Remote,66,1,1,3,50
A00540,U212,Nurse,Clinical,18/06/2025 10:07,Wednesday,10,P606,View,Normal,Remote,76,0,0,3,30
A00541,U080,Doctor,Clinical,10/06/2025 14:47,Tuesday,14,P796,Export,Normal,Remote,52,0,0,2,40
A00542,U112,Nurse,Clinical,10/06/2025 05:02,Tuesday,5,P299,View,Normal,Remote,69,1,0,3,50
A00543,U156,Nurse,Clinical,11/06/2025 11:11,Wednesday,11,P575,View,High,Onsite,63,0,0,3,60
A00544,U027,Doctor,Clinical,11/06/2025 09:15,Wednesday,9,P172,Edit,High,Onsite,13,0,0,2,50
A00545,U297,Pharmacist,Pharmacy,14/06/2025 09:58,Saturday,9,P918,View,High,Onsite,40,0,1,3,60
A00546,U123,Nurse,Clinical,20/06/2025 13:15,Friday,13,P819,View,Normal,Onsite,53,0,0,3,30
A00547,U235,Nurse,Clinical,06/06/2025 03:12,Friday,3,P519,Export,High,Onsite,77,1,0,3,100
A00548,U263,Admin,Admin,25/06/2025 21:05,Wednesday,21,P987,View,Normal,Remote,44,1,0,5,70
A00549,U288,Receptionist,Admin,10/06/2025 21:18,Tuesday,21,P622,View,Normal,Remote,68,1,0,4,60
A00550,U237,Nurse,Clinical,21/06/2025 03:43,Saturday,3,P672,View,Normal,Onsite,71,1,1,3,50
A00551,U063,Doctor,Clinical,25/06/2025 23:09,Wednesday,23,P679,View,Normal,Onsite,4,1,0,2,40
A00552,U111,Nurse,Clinical,29/06/2025 23:08,Sunday,23,P678,View,Normal,Remote,25,1,1,3,50
A00553,U193,Nurse,Clinical,03/06/2025 23:30,Tuesday,23,P621,Edit,Normal,Onsite,67,1,0,3,50
A00554,U081,Doctor,Clinical,25/06/2025 14:27,Wednesday,14,P366,Export,Normal,Remote,25,0,0,2,40
A00555,U016,Doctor,Clinical,20/06/2025 09:49,Friday,9,P467,View,Normal,Onsite,43,0,0,2,20
A00556,U232,Nurse,Clinical,09/06/2025 11:12,Monday,11,P219,View,Normal,Onsite,58,0,0,3,30
A00557,U181,Nurse,Clinical,21/06/2025 19:39,Saturday,19,P862,Export,Normal,Onsite,16,1,1,3,70
A00558,U065,Doctor,Clinical,10/06/2025 03:01,Tuesday,3,P691,View,Normal,Onsite,35,1,0,2,40
A00559,U104,Nurse,Clinical,28/06/2025 19:23,Saturday,19,P383,Edit,Normal,Onsite,8,1,1,3,50
A00560,U278,Receptionist,Admin,18/06/2025 07:58,Wednesday,7,P228,View,Normal,Remote,5,1,0,4,60
A00561,U253,Admin,Admin,04/06/2025 18:25,Wednesday,18,P637,Edit,Normal,Onsite,8,0,0,5,50
A00562,U197,Nurse,Clinical,04/06/2025 08:01,Wednesday,8,P422,View,Normal,Onsite,27,0,0,3,30
A00563,U024,Doctor,Clinical,06/06/2025 08:13,Friday,8,P185,Edit,High,Remote,68,0,0,2,50
A00564,U066,Doctor,Clinical,10/06/2025 04:15,Tuesday,4,P964,View,High,Remote,75,1,0,2,70
A00565,U096,Nurse,Clinical,09/06/2025 11:26,Monday,11,P916,View,Normal,Remote,37,0,0,3,30
A00566,U196,Nurse,Clinical,27/06/2025 17:00,Friday,17,P383,View,Normal,Onsite,56,0,0,3,30
A00567,U114,Nurse,Clinical,04/06/2025 00:02,Wednesday,0,P543,View,Normal,Onsite,19,1,0,3,50
A00568,U154,Nurse,Clinical,07/06/2025 04:35,Saturday,4,P212,Edit,Normal,Remote,47,1,1,3,50
A00569,U226,Nurse,Clinical,02/06/2025 01:20,Monday,1,P855,View,High,Onsite,66,1,0,3,80
A00570,U262,Admin,Admin,19/06/2025 07:10,Thursday,7,P147,View,Normal,Remote,25,1,0,5,70
A00571,U281,Receptionist,Admin,30/06/2025 10:27,Monday,10,P517,View,Normal,Onsite,22,0,0,4,40
A00572,U216,Nurse,Clinical,03/06/2025 09:14,Tuesday,9,P456,View,Normal,Remote,38,0,0,3,30
A00573,U137,Nurse,Clinical,18/06/2025 07:07,Wednesday,7,P757,View,Normal,Onsite,70,1,0,3,50
A00574,U102,Nurse,Clinical,24/06/2025 22:13,Tuesday,22,P499,Edit,Normal,Onsite,39,1,0,3,50
A00575,U266,Admin,Admin,12/06/2025 10:37,Thursday,10,P773,Edit,Normal,Onsite,32,0,0,5,50
A00576,U159,Nurse,Clinical,12/06/2025 09:16,Thursday,9,P468,Edit,Normal,Remote,75,0,0,3,30
A00577,U223,Nurse,Clinical,06/06/2025 23:01,Friday,23,P752,Edit,Normal,Onsite,1,1,0,3,50
A00578,U296,Pharmacist,Pharmacy,04/06/2025 01:01,Wednesday,1,P408,View,Normal,Remote,15,1,0,3,50
A00579,U244,Nurse,Clinical,28/06/2025 18:20,Saturday,18,P991,Edit,Normal,Onsite,68,0,1,3,30
A00580,U198,Nurse,Clinical,17/06/2025 14:30,Tuesday,14,P391,Edit,Normal,Remote,68,0,0,3,30
A00581,U109,Nurse,Clinical,24/06/2025 11:46,Tuesday,11,P824,Edit,Normal,Onsite,64,0,0,3,30
A00582,U206,Nurse,Clinical,29/06/2025 14:33,Sunday,14,P193,Edit,Normal,Remote,39,0,1,3,30
A00583,U258,Admin,Admin,01/06/2025 16:08,Sunday,16,P662,View,Normal,Remote,58,0,1,5,50
A00584,U214,Nurse,Clinical,22/06/2025 20:52,Sunday,20,P615,View,Normal,Remote,24,1,1,3,50
A00585,U159,Nurse,Clinical,27/06/2025 01:39,Friday,1,P305,View,Normal,Onsite,77,1,0,3,50
A00586,U157,Nurse,Clinical,18/06/2025 17:12,Wednesday,17,P585,Edit,Normal,Onsite,34,0,0,3,30
A00587,U122,Nurse,Clinical,10/06/2025 18:59,Tuesday,18,P148,View,Normal,Remote,42,0,0,3,30
A00588,U151,Nurse,Clinical,25/06/2025 03:11,Wednesday,3,P108,View,Normal,Remote,28,1,0,3,50
A00589,U080,Doctor,Clinical,06/06/2025 09:02,Friday,9,P796,View,Normal,Remote,16,0,0,2,20
A00590,U212,Nurse,Clinical,24/06/2025 07:01,Tuesday,7,P534,View,High,Remote,43,1,0,3,80
A00591,U088,Nurse,Clinical,22/06/2025 23:42,Sunday,23,P691,View,High,Onsite,53,1,1,3,80
A00592,U099,Nurse,Clinical,16/06/2025 00:09,Monday,0,P996,Edit,Normal,Onsite,58,1,0,3,50
A00593,U074,Doctor,Clinical,22/06/2025 16:16,Sunday,16,P266,View,Normal,Remote,61,0,1,2,20
A00594,U047,Doctor,Clinical,06/06/2025 12:03,Friday,12,P342,View,Normal,Remote,32,0,0,2,20
A00595,U288,Receptionist,Admin,21/06/2025 13:26,Saturday,13,P475,View,Normal,Onsite,51,0,1,4,40
A00596,U074,Doctor,Clinical,13/06/2025 02:44,Friday,2,P394,View,Normal,Onsite,43,1,0,2,40
A00597,U251,Nurse,Clinical,11/06/2025 05:41,Wednesday,5,P278,View,Normal,Remote,48,1,0,3,50
A00598,U250,Nurse,Clinical,15/06/2025 18:14,Sunday,18,P678,View,Normal,Remote,44,0,1,3,30
A00599,U181,Nurse,Clinical,17/06/2025 02:29,Tuesday,2,P385,View,High,Remote,22,1,0,3,80
A00600,U181,Nurse,Clinical,02/06/2025 10:47,Monday,10,P425,View,High,Remote,27,0,0,3,60
A00601,U184,Nurse,Clinical,23/06/2025 07:50,Monday,7,P854,View,Normal,Onsite,48,1,0,3,50
A00602,U003,Doctor,Clinical,17/06/2025 11:47,Tuesday,11,P648,View,High,Onsite,2,0,0,2,50
A00603,U122,Nurse,Clinical,22/06/2025 08:43,Sunday,8,P883,Edit,High,Onsite,37,0,1,3,60
A00604,U280,Receptionist,Admin,08/06/2025 19:38,Sunday,19,P184,View,High,Remote,19,1,1,4,90
A00605,U174,Nurse,Clinical,11/06/2025 07:36,Wednesday,7,P199,View,Normal,Onsite,16,1,0,3,50
A00606,U221,Nurse,Clinical,22/06/2025 04:19,Sunday,4,P338,Edit,High,Onsite,50,1,1,3,80
A00607,U054,Doctor,Clinical,02/06/2025 12:55,Monday,12,P354,View,Normal,Onsite,4,0,0,2,20
A00608,U080,Doctor,Clinical,10/06/2025 17:37,Tuesday,17,P173,View,Normal,Onsite,57,0,0,2,20
A00609,U097,Nurse,Clinical,18/06/2025 22:46,Wednesday,22,P694,View,High,Remote,46,1,0,3,80
A00610,U131,Nurse,Clinical,13/06/2025 15:56,Friday,15,P555,View,Normal,Onsite,57,0,0,3,30
A00611,U073,Doctor,Clinical,09/06/2025 17:01,Monday,17,P127,View,Normal,Remote,5,0,0,2,20
A00612,U255,Admin,Admin,05/06/2025 04:14,Thursday,4,P995,View,Normal,Onsite,62,1,0,5,70
A00613,U009,Doctor,Clinical,21/06/2025 01:07,Saturday,1,P843,View,Normal,Onsite,28,1,1,2,40
A00614,U286,Receptionist,Admin,02/06/2025 03:39,Monday,3,P617,View,Normal,Remote,44,1,0,4,60
A00615,U066,Doctor,Clinical,17/06/2025 22:32,Tuesday,22,P626,View,Normal,Onsite,57,1,0,2,40
A00616,U282,Receptionist,Admin,22/06/2025 15:54,Sunday,15,P104,View,High,Remote,79,0,1,4,70
A00617,U175,Nurse,Clinical,10/06/2025 18:12,Tuesday,18,P112,View,Normal,Onsite,63,0,0,3,30
A00618,U185,Nurse,Clinical,14/06/2025 22:01,Saturday,22,P596,View,Normal,Remote,76,1,1,3,50
A00619,U138,Nurse,Clinical,27/06/2025 08:06,Friday,8,P320,View,High,Remote,79,0,0,3,60
A00620,U263,Admin,Admin,18/06/2025 01:58,Wednesday,1,P960,Edit,Normal,Remote,66,1,0,5,70
A00621,U006,Doctor,Clinical,30/06/2025 22:59,Monday,22,P220,View,Normal,Remote,4,1,0,2,40
A00622,U118,Nurse,Clinical,30/06/2025 01:47,Monday,1,P968,View,Normal,Onsite,52,1,0,3,50
A00623,U060,Doctor,Clinical,25/06/2025 20:53,Wednesday,20,P305,Export,High,Remote,79,1,0,2,90
A00624,U008,Doctor,Clinical,16/06/2025 19:28,Monday,19,P352,View,Normal,Onsite,68,1,0,2,40
A00625,U131,Nurse,Clinical,20/06/2025 06:53,Friday,6,P894,View,Normal,Onsite,1,1,0,3,50
A00626,U065,Doctor,Clinical,10/06/2025 12:23,Tuesday,12,P202,View,Normal,Onsite,60,0,0,2,20
A00627,U097,Nurse,Clinical,01/06/2025 16:21,Sunday,16,P832,View,High,Onsite,58,0,1,3,60
A00628,U288,Receptionist,Admin,16/06/2025 01:32,Monday,1,P834,Edit,Normal,Remote,24,1,0,4,60
A00629,U123,Nurse,Clinical,21/06/2025 05:51,Saturday,5,P604,Edit,Normal,Remote,36,1,1,3,50
A00630,U186,Nurse,Clinical,25/06/2025 18:14,Wednesday,18,P616,View,Normal,Remote,32,0,0,3,30
A00631,U058,Doctor,Clinical,29/06/2025 06:44,Sunday,6,P890,View,Normal,Onsite,34,1,1,2,40
A00632,U160,Nurse,Clinical,30/06/2025 05:31,Monday,5,P734,View,Normal,Remote,39,1,0,3,50
A00633,U185,Nurse,Clinical,20/06/2025 15:48,Friday,15,P844,View,Normal,Remote,73,0,0,3,30
A00634,U210,Nurse,Clinical,30/06/2025 21:35,Monday,21,P945,View,Normal,Onsite,58,1,0,3,50
A00635,U212,Nurse,Clinical,06/06/2025 16:18,Friday,16,P858,Edit,Normal,Remote,33,0,0,3,30
A00636,U229,Nurse,Clinical,19/06/2025 22:25,Thursday,22,P514,Edit,Normal,Remote,52,1,0,3,50
A00637,U249,Nurse,Clinical,07/06/2025 00:52,Saturday,0,P919,View,High,Remote,58,1,1,3,80
A00638,U149,Nurse,Clinical,08/06/2025 22:44,Sunday,22,P641,View,Normal,Remote,76,1,1,3,50
A00639,U002,Doctor,Clinical,14/06/2025 00:35,Saturday,0,P608,Edit,Normal,Onsite,53,1,1,2,40
A00640,U073,Doctor,Clinical,18/06/2025 10:27,Wednesday,10,P823,Edit,Normal,Onsite,79,0,0,2,20
A00641,U261,Admin,Admin,08/06/2025 00:03,Sunday,0,P305,View,Normal,Remote,68,1,1,5,70
A00642,U034,Doctor,Clinical,27/06/2025 08:10,Friday,8,P384,View,High,Remote,67,0,0,2,50
A00643,U002,Doctor,Clinical,04/06/2025 01:57,Wednesday,1,P596,View,High,Onsite,25,1,0,2,70
A00644,U157,Nurse,Clinical,23/06/2025 22:05,Monday,22,P406,Edit,Normal,Remote,10,1,0,3,50
A00645,U073,Doctor,Clinical,25/06/2025 07:38,Wednesday,7,P623,Edit,Normal,Remote,35,1,0,2,40
A00646,U220,Nurse,Clinical,27/06/2025 18:01,Friday,18,P961,Edit,Normal,Onsite,36,0,0,3,30
A00647,U034,Doctor,Clinical,23/06/2025 06:18,Monday,6,P595,View,Normal,Remote,79,1,0,2,40
A00648,U207,Nurse,Clinical,15/06/2025 16:27,Sunday,16,P441,View,Normal,Remote,34,0,1,3,30
A00649,U043,Doctor,Clinical,18/06/2025 14:42,Wednesday,14,P251,View,Normal,Remote,48,0,0,2,20
A00650,U101,Nurse,Clinical,08/06/2025 01:53,Sunday,1,P288,View,Normal,Remote,74,1,1,3,50
A00651,U260,Admin,Admin,22/06/2025 19:12,Sunday,19,P451,View,Normal,Onsite,79,1,1,5,70
A00652,U066,Doctor,Clinical,27/06/2025 00:15,Friday,0,P285,View,Normal,Onsite,44,1,0,2,40
A00653,U169,Nurse,Clinical,26/06/2025 05:52,Thursday,5,P444,View,Normal,Onsite,19,1,0,3,50
A00654,U036,Doctor,Clinical,24/06/2025 17:57,Tuesday,17,P953,View,Normal,Remote,73,0,0,2,20
A00655,U003,Doctor,Clinical,23/06/2025 20:48,Monday,20,P433,Edit,High,Onsite,66,1,0,2,70
A00656,U278,Receptionist,Admin,05/06/2025 12:04,Thursday,12,P240,View,Normal,Onsite,67,0,0,4,40
A00657,U288,Receptionist,Admin,12/06/2025 13:57,Thursday,13,P122,Edit,Normal,Remote,3,0,0,4,40
A00658,U102,Nurse,Clinical,01/06/2025 22:38,Sunday,22,P162,View,Normal,Remote,24,1,1,3,50
A00659,U093,Nurse,Clinical,24/06/2025 16:18,Tuesday,16,P332,View,Normal,Onsite,29,0,0,3,30
A00660,U139,Nurse,Clinical,04/06/2025 16:41,Wednesday,16,P639,Edit,High,Remote,52,0,0,3,60
A00661,U259,Admin,Admin,27/06/2025 22:21,Friday,22,P280,View,Normal,Remote,58,1,0,5,70
A00662,U278,Receptionist,Admin,27/06/2025 07:59,Friday,7,P993,View,Normal,Remote,47,1,0,4,60
A00663,U220,Nurse,Clinical,22/06/2025 15:51,Sunday,15,P698,View,Normal,Remote,54,0,1,3,30
A00664,U019,Doctor,Clinical,27/06/2025 14:20,Friday,14,P685,View,Normal,Remote,39,0,0,2,20
A00665,U253,Admin,Admin,17/06/2025 13:25,Tuesday,13,P559,View,Normal,Remote,7,0,0,5,50
A00666,U126,Nurse,Clinical,01/06/2025 09:01,Sunday,9,P789,Edit,Normal,Remote,70,0,1,3,30
A00667,U104,Nurse,Clinical,13/06/2025 02:04,Friday,2,P442,View,Normal,Onsite,6,1,0,3,50
A00668,U048,Doctor,Clinical,04/06/2025 22:16,Wednesday,22,P169,Edit,Normal,Onsite,41,1,0,2,40
A00669,U134,Nurse,Clinical,03/06/2025 23:28,Tuesday,23,P835,Edit,Normal,Onsite,64,1,0,3,50
A00670,U244,Nurse,Clinical,11/06/2025 03:11,Wednesday,3,P393,View,Normal,Onsite,73,1,0,3,50
A00671,U082,Doctor,Clinical,17/06/2025 04:46,Tuesday,4,P491,View,Normal,Onsite,38,1,0,2,40
A00672,U023,Doctor,Clinical,28/06/2025 06:16,Saturday,6,P203,View,Normal,Remote,18,1,1,2,40
A00673,U260,Admin,Admin,01/06/2025 20:04,Sunday,20,P154,View,Normal,Remote,78,1,1,5,70
A00674,U251,Nurse,Clinical,02/06/2025 11:46,Monday,11,P361,Export,Normal,Onsite,7,0,0,3,50
A00675,U296,Pharmacist,Pharmacy,23/06/2025 18:39,Monday,18,P521,View,Normal,Onsite,22,0,0,3,30
A00676,U159,Nurse,Clinical,01/06/2025 20:04,Sunday,20,P188,View,Normal,Remote,55,1,1,3,50
A00677,U033,Doctor,Clinical,08/06/2025 10:08,Sunday,10,P513,View,Normal,Onsite,40,0,1,2,20
A00678,U179,Nurse,Clinical,08/06/2025 11:40,Sunday,11,P827,View,Normal,Onsite,25,0,1,3,30
A00679,U237,Nurse,Clinical,19/06/2025 01:13,Thursday,1,P299,Edit,Normal,Remote,35,1,0,3,50
A00680,U296,Pharmacist,Pharmacy,17/06/2025 00:31,Tuesday,0,P898,Edit,Normal,Onsite,63,1,0,3,50
A00681,U077,Doctor,Clinical,04/06/2025 04:38,Wednesday,4,P303,View,Normal,Onsite,71,1,0,2,40
A00682,U257,Admin,Admin,26/06/2025 19:39,Thursday,19,P414,View,Normal,Remote,41,1,0,5,70
A00683,U020,Doctor,Clinical,05/06/2025 01:40,Thursday,1,P663,View,Normal,Onsite,5,1,0,2,40
A00684,U083,Doctor,Clinical,12/06/2025 10:03,Thursday,10,P976,View,Normal,Remote,65,0,0,2,20
A00685,U062,Doctor,Clinical,20/06/2025 06:21,Friday,6,P215,View,Normal,Onsite,32,1,0,2,40
A00686,U257,Admin,Admin,27/06/2025 05:27,Friday,5,P247,View,Normal,Onsite,32,1,0,5,70
A00687,U259,Admin,Admin,05/06/2025 16:58,Thursday,16,P155,View,Normal,Onsite,8,0,0,5,50
A00688,U157,Nurse,Clinical,09/06/2025 02:18,Monday,2,P104,Edit,Normal,Remote,36,1,0,3,50
A00689,U289,Pharmacist,Pharmacy,23/06/2025 21:10,Monday,21,P791,Edit,Normal,Remote,54,1,0,3,50
A00690,U076,Doctor,Clinical,25/06/2025 09:46,Wednesday,9,P478,View,Normal,Onsite,52,0,0,2,20
A00691,U053,Doctor,Clinical,29/06/2025 23:43,Sunday,23,P509,View,Normal,Remote,28,1,1,2,40
A00692,U254,Admin,Admin,19/06/2025 18:29,Thursday,18,P938,View,Normal,Remote,15,0,0,5,50
A00693,U207,Nurse,Clinical,20/06/2025 02:35,Friday,2,P958,View,Normal,Remote,52,1,0,3,50
A00694,U292,Pharmacist,Pharmacy,18/06/2025 18:06,Wednesday,18,P247,Edit,Normal,Remote,67,0,0,3,30
A00695,U115,Nurse,Clinical,28/06/2025 12:01,Saturday,12,P200,View,Normal,Onsite,15,0,1,3,30
A00696,U275,Receptionist,Admin,16/06/2025 07:03,Monday,7,P512,View,Normal,Remote,15,1,0,4,60
A00697,U074,Doctor,Clinical,26/06/2025 12:49,Thursday,12,P379,View,Normal,Onsite,74,0,0,2,20
A00698,U184,Nurse,Clinical,18/06/2025 00:11,Wednesday,0,P955,View,High,Onsite,24,1,0,3,80
A00699,U019,Doctor,Clinical,23/06/2025 07:03,Monday,7,P281,View,Normal,Remote,76,1,0,2,40
A00700,U218,Nurse,Clinical,19/06/2025 10:11,Thursday,10,P283,View,Normal,Onsite,22,0,0,3,30
A00701,U157,Nurse,Clinical,28/06/2025 20:40,Saturday,20,P734,View,Normal,Onsite,29,1,1,3,50
A00702,U087,Nurse,Clinical,06/06/2025 14:14,Friday,14,P155,View,Normal,Onsite,9,0,0,3,30
A00703,U248,Nurse,Clinical,08/06/2025 15:44,Sunday,15,P467,Edit,High,Onsite,67,0,1,3,60
A00704,U095,Nurse,Clinical,04/06/2025 13:21,Wednesday,13,P673,View,Normal,Remote,39,0,0,3,30
A00705,U018,Doctor,Clinical,20/06/2025 10:45,Friday,10,P109,View,High,Remote,21,0,0,2,50
A00706,U265,Admin,Admin,27/06/2025 00:15,Friday,0,P667,View,Normal,Onsite,16,1,0,5,70
A00707,U159,Nurse,Clinical,05/06/2025 06:04,Thursday,6,P886,View,Normal,Onsite,28,1,0,3,50
A00708,U022,Doctor,Clinical,15/06/2025 22:40,Sunday,22,P155,View,Normal,Onsite,50,1,1,2,40
A00709,U120,Nurse,Clinical,02/06/2025 08:54,Monday,8,P821,View,Normal,Remote,78,0,0,3,30
A00710,U045,Doctor,Clinical,11/06/2025 05:26,Wednesday,5,P221,Export,Normal,Remote,74,1,0,2,60
A00711,U098,Nurse,Clinical,25/06/2025 13:29,Wednesday,13,P564,View,Normal,Onsite,36,0,0,3,30
A00712,U288,Receptionist,Admin,18/06/2025 22:58,Wednesday,22,P226,View,Normal,Onsite,33,1,0,4,60
A00713,U088,Nurse,Clinical,12/06/2025 14:46,Thursday,14,P731,Edit,Normal,Remote,75,0,0,3,30
A00714,U115,Nurse,Clinical,04/06/2025 13:11,Wednesday,13,P242,View,Normal,Onsite,60,0,0,3,30
A00715,U118,Nurse,Clinical,18/06/2025 06:45,Wednesday,6,P322,View,Normal,Onsite,24,1,0,3,50
A00716,U013,Doctor,Clinical,28/06/2025 17:30,Saturday,17,P533,View,Normal,Onsite,72,0,1,2,20
A00717,U182,Nurse,Clinical,30/06/2025 01:35,Monday,1,P878,Edit,Normal,Onsite,44,1,0,3,50
A00718,U247,Nurse,Clinical,13/06/2025 12:59,Friday,12,P830,View,Normal,Onsite,56,0,0,3,30
A00719,U236,Nurse,Clinical,13/06/2025 18:37,Friday,18,P700,View,Normal,Remote,30,0,0,3,30
A00720,U166,Nurse,Clinical,08/06/2025 16:48,Sunday,16,P602,View,Normal,Onsite,58,0,1,3,30
A00721,U239,Nurse,Clinical,16/06/2025 04:00,Monday,4,P331,Edit,Normal,Remote,41,1,0,3,50
A00722,U053,Doctor,Clinical,07/06/2025 19:57,Saturday,19,P717,View,Normal,Onsite,39,1,1,2,40
A00723,U069,Doctor,Clinical,26/06/2025 15:04,Thursday,15,P908,View,Normal,Onsite,6,0,0,2,20
A00724,U111,Nurse,Clinical,27/06/2025 20:57,Friday,20,P459,Edit,Normal,Remote,80,1,0,3,50
A00725,U065,Doctor,Clinical,06/06/2025 20:00,Friday,20,P887,View,Normal,Onsite,54,1,0,2,40
A00726,U151,Nurse,Clinical,15/06/2025 22:21,Sunday,22,P532,View,Normal,Remote,39,1,1,3,50
A00727,U017,Doctor,Clinical,05/06/2025 02:29,Thursday,2,P278,View,Normal,Onsite,22,1,0,2,40
A00728,U028,Doctor,Clinical,14/06/2025 22:07,Saturday,22,P192,View,Normal,Remote,26,1,1,2,40
A00729,U275,Receptionist,Admin,04/06/2025 09:18,Wednesday,9,P846,View,Normal,Remote,23,0,0,4,40
A00730,U109,Nurse,Clinical,05/06/2025 13:03,Thursday,13,P101,View,Normal,Remote,56,0,0,3,30
A00731,U262,Admin,Admin,11/06/2025 15:32,Wednesday,15,P518,Export,Normal,Remote,4,0,0,5,70
A00732,U010,Doctor,Clinical,22/06/2025 22:13,Sunday,22,P915,Export,Normal,Remote,1,1,1,2,60
A00733,U094,Nurse,Clinical,11/06/2025 02:41,Wednesday,2,P619,Edit,High,Onsite,61,1,0,3,80
A00734,U173,Nurse,Clinical,22/06/2025 09:12,Sunday,9,P827,View,Normal,Remote,24,0,1,3,30
A00735,U173,Nurse,Clinical,05/06/2025 02:51,Thursday,2,P562,Edit,Normal,Onsite,79,1,0,3,50
A00736,U140,Nurse,Clinical,26/06/2025 04:15,Thursday,4,P832,Edit,Normal,Remote,1,1,0,3,50
A00737,U243,Nurse,Clinical,01/06/2025 17:40,Sunday,17,P802,View,Normal,Onsite,54,0,1,3,30
A00738,U273,Receptionist,Admin,06/06/2025 11:30,Friday,11,P551,Edit,Normal,Remote,70,0,0,4,40
A00739,U285,Receptionist,Admin,29/06/2025 12:04,Sunday,12,P443,View,Normal,Remote,44,0,1,4,40
A00740,U080,Doctor,Clinical,17/06/2025 09:18,Tuesday,9,P601,View,Normal,Remote,48,0,0,2,20
A00741,U176,Nurse,Clinical,02/06/2025 21:52,Monday,21,P967,View,Normal,Onsite,72,1,0,3,50
A00742,U077,Doctor,Clinical,22/06/2025 09:48,Sunday,9,P251,Edit,Normal,Onsite,6,0,1,2,20
A00743,U107,Nurse,Clinical,27/06/2025 04:19,Friday,4,P939,View,Normal,Remote,63,1,0,3,50
A00744,U090,Nurse,Clinical,03/06/2025 12:53,Tuesday,12,P781,View,Normal,Onsite,61,0,0,3,30
A00745,U074,Doctor,Clinical,05/06/2025 22:33,Thursday,22,P793,View,Normal,Remote,53,1,0,2,40
